PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15
1.905679428;-0.082562315;-0.133993156;-0.436105141;-0.568990529;0.665760093;0.531366387;0.344641866;0.025748131;-0.251822994;1.521924837;-0.228224833;-0.565244702;0.255120252;-0.022422355
2.695817362;0.151037559;-0.227315861;1.037409421;0.106984908;1.122801777;0.880746617;0.416974002;-0.099293034;0.222153666;-0.217838399;1.041907684;-0.921918041;-0.517637713;-0.193336292
2.207013827;-0.191854789;-0.25240552;0.51438341;-0.922692489;0.860989814;0.26071313;-0.382501761;-0.33303301;-0.365572946;-0.00800028;-0.136765967;0.034695042;-0.199406023;-0.119286637
-0.045280095;0.438143926;0.240289482;0.446964834;0.141311447;-0.846015021;-0.244967119;-0.101023736;-2.211539021;-0.135088021;-0.035677245;0.558138726;-0.18016979;-0.230555111;-0.299281831
-4.756909255;0.19208653;-0.92386222;-0.239571954;-0.865162079;-0.085725581;0.267727574;0.138890095;-0.499407387;0.553369658;0.833083849;0.148494125;-0.350337818;-0.017406556;-0.077820083
1.404876995;-0.490815464;0.906442159;-0.076349005;-0.266035487;0.218129357;0.913530404;0.579894054;0.058186426;0.19303709;-0.655051804;-0.62228407;0.094003952;-0.259550583;0.150954309
-2.253941247;0.775015111;0.19144378;0.559146256;-0.849410694;0.266077724;-0.505208687;-0.618248227;0.042791661;0.781428691;-0.424944646;0.1882408;0.570054838;0.182096663;-0.052816866
0.427848463;0.930312175;-0.490923002;0.289984997;-0.361037894;-1.10429554;-0.559947635;0.922107387;-0.411527824;-1.327640199;-0.806094332;0.90293096;0.273705272;-0.445011289;0.001057072
2.879094777;-0.102158726;-0.370834873;-1.434535723;0.070960267;-0.358551194;0.896777051;0.805287888;0.342151063;-0.009618437;-0.007390814;-0.039416106;-0.282123419;0.285951689;-0.137225909
1.044121295;-1.132984166;0.31199327;-0.945022545;0.293036306;0.144529447;0.182573591;0.077812415;-0.734276778;0.106182302;-0.106098465;-0.875770227;-0.29177452;0.732059256;-0.124841983
3.525801141;-0.130241823;0.345033905;-0.099202186;1.190801482;0.180162891;-0.264160855;-0.65476331;0.091101022;0.225884281;-0.479506541;0.055046712;0.077436485;-0.58822599;-0.007028967
-2.682757867;-1.075772046;0.238146101;-0.651192671;0.113740768;0.224689269;-0.685991279;0.498949293;0.730551229;-0.15420754;0.834746379;-0.527729958;-0.560574389;0.402696516;-0.174448814
1.038614721;1.191148453;0.383776327;-0.026164426;0.339259056;0.604567965;-0.06140873;-0.257289118;-1.165699689;-0.049962545;-0.209318224;1.169755052;0.465310255;0.889979285;-0.04860056
-4.157929179;-0.820962813;-0.066862258;-0.564286862;1.211945512;0.016211717;-0.270980264;1.112314717;-0.586594872;-0.859643025;-1.913776972;0.493331242;-0.208025563;0.192857881;0.035830902
0.380422385;0.641793502;-0.214037534;-1.15912434;0.26493758;-0.473961199;0.029640606;0.097906388;0.496105384;-0.881717174;-0.232990678;0.555804558;1.729787863;-0.05188959;0.127546961
2.964961723;0.086706194;0.600638957;-0.11657421;0.853295315;0.102476016;0.206928923;0.132731983;-1.075242229;-0.419465452;0.065039168;0.109336224;0.549080641;-0.740923364;-0.297750694
-2.838380846;-0.769047142;-0.38033928;0.292329497;0.22165981;0.084113123;-0.153685624;0.790730808;0.072627885;0.457099583;-1.130242473;0.610815334;0.869546279;0.844010466;0.136550884
-2.085260013;-0.093414622;-0.6580207;0.601773391;-1.353028705;-0.530133451;-0.691669865;-0.555949955;0.868826254;-0.333530262;-1.468514462;0.020030224;1.403439967;0.670503549;0.075040308
-3.295023825;-0.21470617;-0.155161375;-0.273279266;-0.471768391;-0.547502049;0.838531351;-0.1060091;-0.187648359;-0.873728146;0.341150371;1.463096647;-0.577835224;0.716020696;0.06198535
-0.514363064;-0.367610271;-1.033608174;-0.555973463;-0.756152382;0.433748469;-0.256718109;0.015808254;0.514129594;0.159340508;0.720437434;-1.098073386;0.314710789;0.312895487;0.0930254
